"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Hazy_Script.txt:1","最初から","Start from beginning","a0_010_0001","False","","",""
"Hazy_Script.txt:2","葉子との回想から","Start from recollection with Yoko","a0_010_0002","False","","",""
"Hazy_Script.txt:3","あれ…？","Huh...?","a0_010_0010","False","","",""
"Hazy_Script.txt:4","ええと……？","Umm...","a0_010_0028","False","","",""
"Hazy_Script.txt:5","蘇りの秘術……だっけ？","The...Rite of Resurrection?","a0_010_0029","False","","",""
"Hazy_Script.txt:6","あたりを見回して
調べたいところを お選びください。
話ができる人がいる場合は
[c3]顔[c0]を選ぶことで 会話をいたします。","Look around and select things you want to investigate.
You can converse with people by selecting their [c3]faces[c0].","a0_010_0037","False","","",""
"Hazy_Script.txt:7","福永葉子","Yoko Fukunaga","a0_010_0038","False","","",""
"Hazy_Script.txt:8","電話ボックス","Telephone Booth","a0_010_0039","False","","",""
"Hazy_Script.txt:9","遊具","Playground","a0_010_0040","False","","",""
"Hazy_Script.txt:10","周囲","Surroundings","a0_010_0041","False","","",""
"Hazy_Script.txt:11","話す","Talk","a0_010_0042","False","","",""
"Hazy_Script.txt:12","福永葉子","Yoko Fukunaga","a0_010_0043","False","","",""
"Hazy_Script.txt:13","思い出す","Recall","a0_010_0044","False","","",""
"Hazy_Script.txt:14","これが下町人情だ","I'm a good Samaritan.","a0_010_0094","False","","",""
"Hazy_Script.txt:15","じゃあ下心で","Definitely the other thing.","a0_010_0095","False","","",""
"Hazy_Script.txt:16","言われてみれば……","Now that you mention it...","a0_010_0133","False","","",""
"Hazy_Script.txt:17","気のせいだろう","You're hearing things.","a0_010_0134","False","","",""
"Hazy_Script.txt:18","前口上から","Start from introduction","a0_010_0147","False","","",""
"Hazy_Script.txt:19","★最初から","★","a0_010_0148","False","","",""
"Hazy_Script.txt:20","★回想","★","a0_010_0149","False","","",""
"Hazy_Script.txt:21","★回想・続","★","a0_010_0150","False","","",""
"Hazy_Script.txt:22","★回想後","★","a0_010_0151","False","","",""
"Hazy_Script.txt:23","★前口上から","★","a0_010_0152","False","","",""
"Hazy_Script.txt:24","あなたが 操作できる状態のときは
[c3]画面をドラッグ[c0]するか
ゲームパッドの[c3]右スティック[c0]で
周囲を 見回すことができます。

まずは ぐるっと１周してみましょう。","When the game is in your control, [c3]drag the screen[c0]
or [c3]move the right stick[c0] to look around.

Try looking around your surroundings now.","a0_010_0171","False","","",""
"Hazy_Script.txt:25","<align=""center"">SQUARE ENIX Presents","<align=""center"">SQUARE ENIX Presents","a0_010_0286","False","","",""
"Hazy_Script.txt:26","[c2]………おきいえくん……？","[c2]Shogo?","a0_010_0287","False","","",""
"Hazy_Script.txt:27","……興家くん！ 大丈夫……!?","Shogo! Are you all right!?","a0_010_0288","False","","",""
"Hazy_Script.txt:28","……おーい。興家くーん？","Heeey! Can you hear me?","a0_010_0289","False","","",""
"Hazy_Script.txt:29","あれっ？ ……じゃないよ。
起きたかね？ 興家彰吾くん。","Hey, that's not a proper answer.
Earth to Shogo Okiie!","a0_010_0290","False","","",""
"Hazy_Script.txt:30","ダメだよ。こんなところで 急に寝ちゃ。
ビックリしちゃったじゃん。","What do you think you're doing, falling asleep
here? You gave me quite the shock.","a0_010_0291","False","","",""
"Hazy_Script.txt:31","ほら。立って立って。","Come on, now. Up with you! Up!","a0_010_0292","False","","",""
"Hazy_Script.txt:32","……ぃよっ……こらせっ！","O...kay! And...","a0_010_0293","False","","",""
"Hazy_Script.txt:33","……っと！","There!","a0_010_0294","False","","",""
"Hazy_Script.txt:34","……どう？ 大丈夫？","How's that? All right?","a0_010_0295","False","","",""
"Hazy_Script.txt:35","……目眩とか 頭痛とか 疳の虫とか
あったりしない？ 興家彰吾くん。","Do you feel dizzy? Have a headache?
Are your humors off-balance?","a0_010_0296","False","","",""
"Hazy_Script.txt:36","あ……ああ。","I'm fine...I think.","a0_010_0297","False","","",""
"Hazy_Script.txt:37","……さすがに 疳の虫はないが
まだ少し 頭がぼうっとするな……。","There's definitely nothing wrong with my humors,
though my head's still a little fuzzy...","a0_010_0298","False","","",""
"Hazy_Script.txt:38","<cspace=-4px><font=""TELOP"">会社員","<color=#ddd>Office Worker","a0_010_0299","False","","",""
"Hazy_Script.txt:39","<cspace=-4px><font=""TELOP"">[sruby-50][vruby-12]興家彰吾","<color=#ddd><cspace=-4px><font=""TELOP"">興家彰吾<cspace=0px>
<voffset=1.1em><font=""MAIN""><space=16px>[x0.4]Shogo Okiie","a0_010_0300","False","","",""
"Hazy_Script.txt:40","そっか。それは心配だね。","Uh-oh. That doesn't sound good.","a0_010_0301","False","","",""
"Hazy_Script.txt:41","試しに 周りをぐる～っと見て
大丈夫か 確認してみ？","Turn your head around a little bit to see if
you can walk all right.","a0_010_0302","False","","",""
"Hazy_Script.txt:42","[s0]あなたが 操作できる状態のときは
[c3]画面をドラッグ[c0]するか
ゲームパッドの[c3]右スティック[c0]で
周囲を 見回すことができます。

まずは ぐるっと１周してみましょう。","[s0]When the game is in your control, [c3]drag the screen[c0]
or [c3]move the right stick[c0] to look around.

Try looking around your surroundings now.","a0_010_0303","False","","",""
"Hazy_Script.txt:43","[s0][c3][x0.7]画面ドラッグ[c0]か [c3]右スティック[c0]で 視線を動かして １周してみよう。[c0]","[s0][c3][x0.7]Drag the screen[c0] or [c3]move the right stick[c0] to look around the area.[c0]","a0_010_0304","False","","",""
"Hazy_Script.txt:44","[s0]あなたが 操作できる状態のときは [c3]Ｒスティック[c0]か
タッチスクリーンを[c3]２本指でスワイプ[c0]して
周囲を 見回すことができます。

まずは ぐるっと１周してみましょう。","[s0]When the game is in your control, [c3]use the right stick[c0]
or [c3]swipe the screen with two fingers[c0] to look around.

Try looking around your surroundings now.","a0_010_0305","False","","",""
"Hazy_Script.txt:45","あなたが 操作できる状態のときは [c3]Ｒスティック[c0]か
タッチスクリーンを[c3]２本指でスワイプ[c0]して
周囲を 見回すことができます。

まずは ぐるっと１周してみましょう。","When the game is in your control, [c3]use the right stick[c0]
or [c3]swipe the screen with two fingers[c0] to look around.

Try looking around your surroundings now.","a0_010_0306","False","","",""
"Hazy_Script.txt:46","[s0][c3][x0.7]Ｒスティック[c0]か タッチスクリーンを[c3]２本指でスワイプ[c0]して
視線を動かして １周してみよう。[c0]","[s0][c3][x0.7]Use the right stick[c0] or [c3]swipe the screen with two fingers[c0]
to look around the area.[c0]","a0_010_0307","False","","",""
"Hazy_Script.txt:47","[s0]あなたが 操作できる状態のときは
画面を[c3]２本指でスワイプ[c0]して
周囲を 見回すことができます。

まずは ぐるっと１周してみましょう。","[s0]When the game is in your control,
[c3]swipe the screen with two fingers[c0] to look around.

Try looking around your surroundings now.","a0_010_0308","False","","",""
"Hazy_Script.txt:48","あなたが 操作できる状態のときは
画面を[c3]２本指でスワイプ[c0]して
周囲を 見回すことができます。

まずは ぐるっと１周してみましょう。","When the game is in your control,
[c3]swipe the screen with two fingers[c0] to look around.

Try looking around your surroundings now.","a0_010_0309","False","","",""
"Hazy_Script.txt:49","[s0][c0][x0.7]画面を[c3]２本指でスワイプ[c0]して 視線を動かして １周してみよう。[c0]","[s0][c0][x0.7][c3]Swipe the screen with two fingers[c0] to look around the area.[c0]","a0_010_0310","False","","",""
"Hazy_Script.txt:50","うんうん 大丈夫そうだ。
よかった よかった！","Good, good. You seem to be fine.
What a relief!","a0_010_0311","False","","",""
