"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Hazy_Script.txt:1","最初から","从最开始","a0_010_0001","False","","","
从最开始

从最开始"
"Hazy_Script.txt:2","葉子との回想から","从和叶子的回忆中","a0_010_0002","False","","","
从和叶子的回忆中

从和叶子的回忆中"
"Hazy_Script.txt:3","あれ…？","咦…？","a0_010_0010","False","","","
咦…？

咦…？"
"Hazy_Script.txt:4","ええと……？","嗯……？","a0_010_0028","False","","","
嗯……？

嗯……？"
"Hazy_Script.txt:5","蘇りの秘術……だっけ？","复活秘术……是吗？","a0_010_0029","False","","","
重生的秘术……是吗？

重生的秘术……是吗？"
"Hazy_Script.txt:6","あたりを見回して
調べたいところを お選びください。
話ができる人がいる場合は
[c3]顔[c0]を選ぶことで 会話をいたします。","请环顾四周，
点击想要调查的地方。
如果有可以交谈的人，
可以通过点击[c3]人物面部[c0]来进行对话。","a0_010_0037","False","","","
环顾四周  
请选择想调查的地方。  
如果你有一个可以交谈的人，  
[c3]通过选择脸[c0]来进行对话。

环顾四周  
请选择想查的地方。  
如果你有一个会说话的人  
[c3]通过选择脸[c0]进行对话。"
"Hazy_Script.txt:7","福永葉子","福永叶子","a0_010_0038","False","","","
福永叶子

福永葉子"
"Hazy_Script.txt:8","電話ボックス","电话亭","a0_010_0039","False","","","
电话亭

电话亭"
"Hazy_Script.txt:9","遊具","游乐设施","a0_010_0040","False","","","
游乐设施

虽然"
"Hazy_Script.txt:10","周囲","周围","a0_010_0041","False","","","
周围

周围"
"Hazy_Script.txt:11","話す","对话","a0_010_0042","False","","","
说话

说话"
"Hazy_Script.txt:12","福永葉子","福永叶子","a0_010_0043","False","","","
福永叶子

福永葉子"
"Hazy_Script.txt:13","思い出す","回忆","a0_010_0044","False","","","
回忆

想起"
"Hazy_Script.txt:14","これが下町人情だ","这就是风土人情","a0_010_0094","False","","","
这就是庶民之道

这是平民的人情"
"Hazy_Script.txt:15","じゃあ下心で","这是别有用心","a0_010_0095","False","","","
那是别有用心

那就用心吧"
"Hazy_Script.txt:16","言われてみれば……","这么说来……","a0_010_0133","False","","","
这么说来……

这么说来……"
"Hazy_Script.txt:17","気のせいだろう","是心理作用吧","a0_010_0134","False","","","
是心理作用吧

是心理作用吧"
"Hazy_Script.txt:18","前口上から","从开场白开始","a0_010_0147","False","","","
从开场白开始

前言"
"Hazy_Script.txt:19","★最初から","★从最开始","a0_010_0148","False","","","
★从最开始

★从最开始"
"Hazy_Script.txt:20","★回想","★回想","a0_010_0149","False","","","
★回想

★回想"
"Hazy_Script.txt:21","★回想・続","★回想·续","a0_010_0150","False","","","
★回想·续

★回忆·续篇"
"Hazy_Script.txt:22","★回想後","★回想后","a0_010_0151","False","","","
★回想后

★回想后"
"Hazy_Script.txt:23","★前口上から","★从开场白开始","a0_010_0152","False","","","
★从开场白开始

★前言"
