confirm_yes,はい
confirm_no,いいえ
game_btn_auto,AUTO
menu_btn_auto,AUTOボタン表示
menu_btn_charalist,人物リスト
menu_btn_doclist,資料
menu_btn_storychart,ストーリーチャート
menu_btn_save,セーブ
menu_btn_load,ロード
menu_btn_option,オプション
menu_btn_end,ゲーム終了
charalist_title,人物リスト
doclist_title,資料
doclist_cate_new,新着
doclist_cate_all,ALL
doclist_cate_calture,文化/社会
doclist_cate_sevenwonder,本所七不思議
doclist_cate_curse,超常/呪詛
doclist_cate_other,攻略情報
doclist_nothing_message,更新された資料はありません
save_title,セーブ
save_subtitle,セーブするスロットを選んでください
save_message,スロット{0}に 上書きいたしますか？
load_title,ロード
load_subtitle,ロードするスロットを選んでください
load_message,スロット{0}を ロードいたしますか？[r][c3]※ロードすると ストーリーの進行状態も戻ります。[r]※本作は データを戻さずとも 全要素が遊べます。
save_autosave,オートセーブ
save_slotname,スロット{0}
save_nodata,データなし
save_place_storychart,ストーリーチャート
save_place_first,前口上
option_cate_game,ゲーム
option_cate_sound,サウンド
option_cate_video,ビデオ
option_cate_controller,コントロール
option_btn_initialize,このタブを初期化
option_btn_alldelete_savedata,セーブデータ全消去
option_btn_enter,すべて反映
option_cancel,キャンセル
option_sound_title,サウンド設定
option_sound_bgm,ＢＧＭ音量
option_sound_se,ＳＥ音量
option_sound_voice,ボイス音量
option_game_title,ゲーム設定
option_game_language,言語設定
option_game_viblation,振動
option_game_speed,メッセージスピード
option_game_brightness,画面の明るさ
option_game_brightness_message,右側の画像の形がギリギリわかる程度に 明るさを調整してください
option_game_language_button1,English
option_game_language_button2,日本語
option_toggle_on,ON
option_toggle_off,OFF
option_game_speed_low,遅い
option_game_speed_normal,普通
option_game_speed_fast,速い
option_game_speed_moment,瞬時
option_game_screen_dark,暗い
option_game_screen_littledark,やや暗い
option_game_screen_normal,普通
option_game_screen_littlebright,やや明るい
option_game_screen_bright,明るい
option_video_title,ビデオ設定
option_video_render_resolution,描画解像度
option_video_antialiasing,アンチエイリアス
option_video_post_effect,ポストエフェクト
low_resolution,低解像度
standard,標準
hi_resolution,高解像度
low,低
high,高
option_video_render_load,描画負荷設定
low_load,低負荷
slightly_low_load,やや低負荷
option_video_chromaticaberration,色収差
option_video_screen_resolution,画面解像度
option_video_screen_mode,画面モード
option_video_window,ウインドウ
option_video_borderless,ボーダーレス
option_video_full_screen,フルスクリーン
option_video_1,1280×720
option_video_2,1366×768
option_video_3,1600×900
option_video_4,1920×1080
option_controller_title,コントロール設定
option_controller_hold,コントローラー持ち方
option_controller_view1,視点操作(上下)
option_controller_view2,視点操作(左右)
option_controller_button,決定ボタンの設定
normal,通常
option_controller_flip_ud,上下反転
option_controller_flip_lr,左右反転
change,変更
option_controller_message,決定／キャンセルボタンの割り当てを変更します。<br>
keyconfig_enter,決定
keyconfig_select_up,選択:上
keyconfig_select_down,選択:下
keyconfig_select_left,選択:左
keyconfig_select_right,選択:右
keyconfig_camera_up,カーソル:上
