confirm_yes,Yes
confirm_no,No
game_btn_auto,Auto
menu_btn_auto,Auto Button Display
menu_btn_charalist,Persons of Interest
menu_btn_doclist,Files
menu_btn_storychart,Story Chart
menu_btn_save,Save
menu_btn_load,Load
menu_btn_option,Options
menu_btn_end,Quit Game
charalist_title,Persons of Interest
doclist_title,Files
doclist_cate_new,New
doclist_cate_all,All
doclist_cate_calture,Culture/Society
doclist_cate_sevenwonder,Seven Mysteries
doclist_cate_curse,Phenomena/<br>Curses
doclist_cate_other,Gameplay Guide
doclist_nothing_message,No updated files
save_title,Save
save_subtitle,Select a save slot
save_message,Do you wish to overwrite slot {0}?
load_title,Load
load_subtitle,Select a slot to load
load_message,Do you wish to load slot {0}?[r][c3]*This will revert any current story progress.[r]*It is possible to experience all the story has to[r]offer without reloading your data.
save_autosave,Autosave
save_slotname,Slot {0}
save_nodata,No data
save_place_storychart,Story Chart
save_place_first,Introduction
option_cate_game,Game
option_cate_sound,Audio
option_cate_video,Video
option_cate_controller,Controls
option_btn_initialize,Restore Defaults
option_btn_alldelete_savedata,Delete Save Data
option_btn_enter,Apply All
option_cancel,Cancel
option_sound_title,Audio Settings
option_sound_bgm,Music Volume
option_sound_se,SFX Volume
option_sound_voice,Voice Volume
option_game_title,Game Settings
option_game_language,Game Language
option_game_viblation,Vibration
option_game_speed,Text Speed
option_game_brightness,Brightness
option_game_brightness_message,Adjust brightness until the image on the right is barely visible
option_game_language_button1,English
option_game_language_button2,日本語
option_toggle_on,On
option_toggle_off,Off
option_game_speed_low,Slow
option_game_speed_normal,Normal
option_game_speed_fast,Fast
option_game_speed_moment,Instant
option_game_screen_dark,Dark
option_game_screen_littledark,Fairly Dark
option_game_screen_normal,Normal
option_game_screen_littlebright,Fairly Bright
option_game_screen_bright,Bright
option_video_title,Video Settings
option_video_render_resolution,Resolution
option_video_antialiasing,Anti-Aliasing
option_video_post_effect,Post-Processing
low_resolution,Low-Res
standard,Standard
hi_resolution,High-Res
low,Low
high,High
option_video_render_load,Rendering Load
low_load,Minimal
slightly_low_load,Economic
option_video_chromaticaberration,Chromatic Aberration
option_video_screen_resolution,Standard
option_video_screen_mode,Display Mode
option_video_window,Windowed
