"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Hazy_Localization.txt:1","はい","はい","confirm_yes","False","","",""
"Hazy_Localization.txt:2","いいえ","いいえ","confirm_no","False","","",""
"Hazy_Localization.txt:3","AUTO","AUTO","game_btn_auto","False","","",""
"Hazy_Localization.txt:4","AUTOボタン表示","AUTOボタン表示","menu_btn_auto","False","","",""
"Hazy_Localization.txt:5","人物リスト","人物リスト","menu_btn_charalist","False","","",""
"Hazy_Localization.txt:6","資料","資料","menu_btn_doclist","False","","",""
"Hazy_Localization.txt:7","ストーリーチャート","ストーリーチャート","menu_btn_storychart","False","","",""
"Hazy_Localization.txt:8","セーブ","セーブ","menu_btn_save","False","","",""
"Hazy_Localization.txt:9","ロード","ロード","menu_btn_load","False","","",""
"Hazy_Localization.txt:10","オプション","オプション","menu_btn_option","False","","",""
"Hazy_Localization.txt:11","ゲーム終了","ゲーム終了","menu_btn_end","False","","",""
"Hazy_Localization.txt:12","人物リスト","人物リスト","charalist_title","False","","",""
"Hazy_Localization.txt:13","資料","資料","doclist_title","False","","",""
"Hazy_Localization.txt:14","新着","新着","doclist_cate_new","False","","",""
"Hazy_Localization.txt:15","ALL","ALL","doclist_cate_all","False","","",""
"Hazy_Localization.txt:16","文化/社会","文化/社会","doclist_cate_calture","False","","",""
"Hazy_Localization.txt:17","本所七不思議","本所七不思議","doclist_cate_sevenwonder","False","","",""
"Hazy_Localization.txt:18","超常/呪詛","超常/呪詛","doclist_cate_curse","False","","",""
"Hazy_Localization.txt:19","攻略情報","攻略情報","doclist_cate_other","False","","",""
"Hazy_Localization.txt:20","更新された資料はありません","更新された資料はありません","doclist_nothing_message","False","","",""
"Hazy_Localization.txt:21","セーブ","セーブ","save_title","False","","",""
"Hazy_Localization.txt:22","セーブするスロットを選んでください","セーブするスロットを選んでください","save_subtitle","False","","",""
"Hazy_Localization.txt:23","スロット{0}に 上書きいたしますか？","スロット{0}に 上書きいたしますか？","save_message","False","","",""
"Hazy_Localization.txt:24","ロード","ロード","load_title","False","","",""
"Hazy_Localization.txt:25","ロードするスロットを選んでください","ロードするスロットを選んでください","load_subtitle","False","","",""
"Hazy_Localization.txt:26","スロット{0}を ロードいたしますか？","スロット{0}を ロードいたしますか？","load_message","False","","",""
"Hazy_Localization.txt:27","オートセーブ","オートセーブ","save_autosave","False","","",""
"Hazy_Localization.txt:28","スロット{0}","スロット{0}","save_slotname","False","","",""
"Hazy_Localization.txt:29","データなし","データなし","save_nodata","False","","",""
"Hazy_Localization.txt:30","ストーリーチャート","ストーリーチャート","save_place_storychart","False","","",""
"Hazy_Localization.txt:31","前口上","前口上","save_place_first","False","","",""
"Hazy_Localization.txt:32","ゲーム","ゲーム","option_cate_game","False","","",""
"Hazy_Localization.txt:33","サウンド","サウンド","option_cate_sound","False","","",""
"Hazy_Localization.txt:34","ビデオ","ビデオ","option_cate_video","False","","",""
"Hazy_Localization.txt:35","コントロール","コントロール","option_cate_controller","False","","",""
"Hazy_Localization.txt:36","このタブを初期化","このタブを初期化","option_btn_initialize","False","","",""
"Hazy_Localization.txt:37","セーブデータ全消去","セーブデータ全消去","option_btn_alldelete_savedata","False","","",""
"Hazy_Localization.txt:38","すべて反映","すべて反映","option_btn_enter","False","","",""
"Hazy_Localization.txt:39","キャンセル","キャンセル","option_cancel","False","","",""
"Hazy_Localization.txt:40","サウンド設定","サウンド設定","option_sound_title","False","","",""
"Hazy_Localization.txt:41","ＢＧＭ音量","ＢＧＭ音量","option_sound_bgm","False","","",""
"Hazy_Localization.txt:42","ＳＥ音量","ＳＥ音量","option_sound_se","False","","",""
"Hazy_Localization.txt:43","ボイス音量","ボイス音量","option_sound_voice","False","","",""
"Hazy_Localization.txt:44","ゲーム設定","ゲーム設定","option_game_title","False","","",""
"Hazy_Localization.txt:45","言語設定","言語設定","option_game_language","False","","",""
"Hazy_Localization.txt:46","振動","振動","option_game_viblation","False","","",""
"Hazy_Localization.txt:47","メッセージスピード","メッセージスピード","option_game_speed","False","","",""
"Hazy_Localization.txt:48","画面の明るさ","画面の明るさ","option_game_brightness","False","","",""
"Hazy_Localization.txt:49","右側の画像の形がギリギリわかる程度に 明るさを調整してください","右側の画像の形がギリギリわかる程度に 明るさを調整してください","option_game_brightness_message","False","","",""
"Hazy_Localization.txt:50","English","English","option_game_language_button1","False","","",""
"Hazy_Localization.txt:51","日本語","日本語","option_game_language_button2","False","","",""
"Hazy_Localization.txt:52","ON","ON","option_toggle_on","False","","",""
"Hazy_Localization.txt:53","OFF","OFF","option_toggle_off","False","","",""
"Hazy_Localization.txt:54","遅い","遅い","option_game_speed_low","False","","",""
"Hazy_Localization.txt:55","普通","普通","option_game_speed_normal","False","","",""
"Hazy_Localization.txt:56","速い","速い","option_game_speed_fast","False","","",""
"Hazy_Localization.txt:57","瞬時","瞬時","option_game_speed_moment","False","","",""
"Hazy_Localization.txt:58","暗い","暗い","option_game_screen_dark","False","","",""
"Hazy_Localization.txt:59","やや暗い","やや暗い","option_game_screen_littledark","False","","",""
"Hazy_Localization.txt:60","普通","普通","option_game_screen_normal","False","","",""
"Hazy_Localization.txt:61","やや明るい","やや明るい","option_game_screen_littlebright","False","","",""
"Hazy_Localization.txt:62","明るい","明るい","option_game_screen_bright","False","","",""
"Hazy_Localization.txt:63","ビデオ設定","ビデオ設定","option_video_title","False","","",""
"Hazy_Localization.txt:64","描画解像度","描画解像度","option_video_render_resolution","False","","",""
"Hazy_Localization.txt:65","アンチエイリアス","アンチエイリアス","option_video_antialiasing","False","","",""
"Hazy_Localization.txt:66","ポストエフェクト","ポストエフェクト","option_video_post_effect","False","","",""
"Hazy_Localization.txt:67","低解像度","低解像度","low_resolution","False","","",""
"Hazy_Localization.txt:68","標準","標準","standard","False","","",""
"Hazy_Localization.txt:69","高解像度","高解像度","hi_resolution","False","","",""
"Hazy_Localization.txt:70","低","低","low","False","","",""
"Hazy_Localization.txt:71","高","高","high","False","","",""
"Hazy_Localization.txt:72","描画負荷設定","描画負荷設定","option_video_render_load","False","","",""
"Hazy_Localization.txt:73","低負荷","低負荷","low_load","False","","",""
"Hazy_Localization.txt:74","やや低負荷","やや低負荷","slightly_low_load","False","","",""
"Hazy_Localization.txt:75","画面解像度","画面解像度","option_video_screen_resolution","False","","",""
"Hazy_Localization.txt:76","画面モード","画面モード","option_video_screen_mode","False","","",""
"Hazy_Localization.txt:77","ウインドウ","ウインドウ","option_video_window","False","","",""
"Hazy_Localization.txt:78","ボーダーレス","ボーダーレス","option_video_borderless","False","","",""
"Hazy_Localization.txt:79","フルスクリーン","フルスクリーン","option_video_full_screen","False","","",""
"Hazy_Localization.txt:80","1280×720","1280×720","option_video_1","False","","",""
"Hazy_Localization.txt:81","1366×768","1366×768","option_video_2","False","","",""
"Hazy_Localization.txt:82","1600×900","1600×900","option_video_3","False","","",""
"Hazy_Localization.txt:83","1920×1080","1920×1080","option_video_4","False","","",""
"Hazy_Localization.txt:84","コントロール設定","コントロール設定","option_controller_title","False","","",""
"Hazy_Localization.txt:85","コントローラー持ち方","コントローラー持ち方","option_controller_hold","False","","",""
"Hazy_Localization.txt:86","視点操作(上下)","視点操作(上下)","option_controller_view1","False","","",""
"Hazy_Localization.txt:87","視点操作(左右)","視点操作(左右)","option_controller_view2","False","","",""
"Hazy_Localization.txt:88","決定ボタンの設定","決定ボタンの設定","option_controller_button","False","","",""
"Hazy_Localization.txt:89","通常","通常","normal","False","","",""
"Hazy_Localization.txt:90","上下反転","上下反転","option_controller_flip_ud","False","","",""
"Hazy_Localization.txt:91","左右反転","左右反転","option_controller_flip_lr","False","","",""
"Hazy_Localization.txt:92","変更","変更","change","False","","",""
"Hazy_Localization.txt:93","決定／キャンセルボタンの割り当てを変更します。<br>","決定／キャンセルボタンの割り当てを変更します。<br>","option_controller_message","False","","",""
"Hazy_Localization.txt:94","決定","決定","keyconfig_enter","False","","",""
"Hazy_Localization.txt:95","選択:上","選択:上","keyconfig_select_up","False","","",""
"Hazy_Localization.txt:96","選択:下","選択:下","keyconfig_select_down","False","","",""
"Hazy_Localization.txt:97","選択:左","選択:左","keyconfig_select_left","False","","",""
"Hazy_Localization.txt:98","選択:右","選択:右","keyconfig_select_right","False","","",""
"Hazy_Localization.txt:99","カーソル:上","カーソル:上","keyconfig_camera_up","False","","",""
"Hazy_Localization.txt:100","カーソル:下","カーソル:下","keyconfig_camera_down","False","","",""
"Hazy_Localization.txt:101","カーソル:左","カーソル:左","keyconfig_camera_left","False","","",""
"Hazy_Localization.txt:102","カーソル:右","カーソル:右","keyconfig_camera_right","False","","",""
"Hazy_Localization.txt:103","呪詛行使","呪詛行使","keyconfig_skill","False","","",""
"Hazy_Localization.txt:104","メニュー","メニュー","keyconfig_menu","False","","",""
"Hazy_Localization.txt:105","AUTO","AUTO","keyconfig_auto","False","","",""
"Hazy_Localization.txt:106","キーボード操作のキーコンフィグ","キーボード操作のキーコンフィグ","keyconfig_title","False","","",""
"Hazy_Localization.txt:107","入力したキーは使用できません。","入力したキーは使用できません。","keyconfig_conflict","False","","",""
"Hazy_Localization.txt:108","設定するキーを入力してください。<br>（ESC でキャンセル）","設定するキーを入力してください。<br>（ESC でキャンセル）","keyconfig_dialog_title","False","","",""
"Hazy_Localization.txt:109","Now Loading...","Now Loading...","nowloading","False","","",""
"Hazy_Localization.txt:110","設定を変更せずに 終了いたしますか？","設定を変更せずに 終了いたしますか？","option_return_msg","False","","",""
"Hazy_Localization.txt:111","更新ページを開く","更新ページを開く","msgbox_open_update_page","False","","",""
"Hazy_Localization.txt:112","セーブして ゲームを終了いたします。
よろしいですか？","セーブして ゲームを終了いたします。
よろしいですか？","msgbox_game_end","False","","",""
"Hazy_Localization.txt:113","表示中のタブの設定を<br>初期状態に戻しますか？","表示中のタブの設定を<br>初期状態に戻しますか？","msgbox_init_option_settings","False","","",""
"Hazy_Localization.txt:114","ゲームスタート","ゲームスタート","game_title_game_start","False","","",""
"Hazy_Localization.txt:115","©2023 SQUARE ENIX CO., LTD. All Rights Reserved.","©2023 SQUARE ENIX CO., LTD. All Rights Reserved.","copywriter","False","","",""
"Hazy_Localization.txt:116","全てのデータが消去されます。
本当によろしいですか？<br>","全てのデータが消去されます。
本当によろしいですか？<br>","option_alldel_btn_message","False","","",""
"Hazy_Localization.txt:117","ストーリーチャートに 戻ります。よろしいですか？
[c3]※まだ終了していないチャプターの場合は
また最初からやり直しになります。","ストーリーチャートに 戻ります。よろしいですか？
[c3]※まだ終了していないチャプターの場合は
また最初からやり直しになります。","menu_storychart_message","False","","",""
"Hazy_Localization.txt:118","タイトルへ戻る","タイトルへ戻る","menu_btn_title","False","","",""
"Hazy_Localization.txt:119","セーブして タイトル画面に戻ります。
よろしいですか？","セーブして タイトル画面に戻ります。
よろしいですか？","menu_title_message","False","","",""
"Hazy_Localization.txt:120","ゲームを終了いたしますか？","ゲームを終了いたしますか？","title_exit_dialog","False","","",""
"Hazy_Localization.txt:121","演出をスキップいたしますか？","演出をスキップいたしますか？","cancel_scroll_message","False","","",""
"Hazy_Localization.txt:122","【{0}】","【{0}】","option_keyconfig_subtitle","False","","",""
"Hazy_Localization.txt:123","PARANORMASIGHT","PARANORMASIGHT","ac01_title","False","","",""
"Hazy_Localization.txt:124","すべての実績を獲得する","すべての実績を獲得する","ac01_detail","False","","",""
"Hazy_Localization.txt:125","東京なめどり連合","東京なめどり連合","ac02_title","False","","",""
"Hazy_Localization.txt:126","なめどりシールをコンプリートした","なめどりシールをコンプリートした","ac02_detail","False","","",""
"Hazy_Localization.txt:127","本所事変完全掌握","本所事変完全掌握","ac03_title","False","","",""
"Hazy_Localization.txt:128","ストーリーをコンプリートした","ストーリーをコンプリートした","ac03_detail","False","","",""
"Hazy_Localization.txt:129","本所の人脈通","本所の人脈通","ac04_title","False","","",""
"Hazy_Localization.txt:130","人物リストをコンプリートした","人物リストをコンプリートした","ac04_detail","False","","",""
"Hazy_Localization.txt:131","本所の情報屋","本所の情報屋","ac05_title","False","","",""
"Hazy_Localization.txt:132","資料をコンプリートした","資料をコンプリートした","ac05_detail","False","","",""
"Hazy_Localization.txt:133","本所七不思議制覇","本所七不思議制覇","ac06_title","False","","",""
"Hazy_Localization.txt:134","呪影をコンプリートした","呪影をコンプリートした","ac06_detail","False","","",""
"Hazy_Localization.txt:135","なめどりエキスパート","なめどりエキスパート","ac07_title","False","","",""
"Hazy_Localization.txt:136","なめどりシールを１５種類獲得した","なめどりシールを１５種類獲得した","ac07_detail","False","","",""
"Hazy_Localization.txt:137","責務完遂","責務完遂","ac08_title","False","","",""
"Hazy_Localization.txt:138","興家彰吾のエンディングを迎えた","興家彰吾のエンディングを迎えた","ac08_detail","False","","",""
"Hazy_Localization.txt:139","なめどりコレクター","なめどりコレクター","ac09_title","False","","",""
"Hazy_Localization.txt:140","なめどりシールを１０種類獲得した","なめどりシールを１０種類獲得した","ac09_detail","False","","",""
"Hazy_Localization.txt:141","真夜中の恐怖","真夜中の恐怖","ac10_title","False","","",""
"Hazy_Localization.txt:142","真夜中にゲームをプレイする","真夜中にゲームをプレイする","ac10_detail","False","","",""
"Hazy_Localization.txt:143","ベテラン探究者","ベテラン探究者","ac11_title","False","","",""
"Hazy_Localization.txt:144","プレイ時間が１０時間に達した","プレイ時間が１０時間に達した","ac11_detail","False","","",""
"Hazy_Localization.txt:145","脱三日坊主","脱三日坊主","ac12_title","False","","",""
"Hazy_Localization.txt:146","３日後にゲームをプレイする","３日後にゲームをプレイする","ac12_detail","False","","",""
"Hazy_Localization.txt:147","志岐間春恵の伝説","志岐間春恵の伝説","ac13_title","False","","",""
"Hazy_Localization.txt:148","志岐間春恵のエンディングを迎えた","志岐間春恵のエンディングを迎えた","ac13_detail","False","","",""
"Hazy_Localization.txt:149","襟尾純の選択","襟尾純の選択","ac14_title","False","","",""
"Hazy_Localization.txt:150","津詰徹生のエンディングを迎えた","津詰徹生のエンディングを迎えた","ac14_detail","False","","",""
"Hazy_Localization.txt:151","白石美智代の怨讐","白石美智代の怨讐","ac15_title","False","","",""
"Hazy_Localization.txt:152","逆崎約子のエンディングを迎えた","逆崎約子のエンディングを迎えた","ac15_detail","False","","",""
"Hazy_Localization.txt:153","根島史周の追慕","根島史周の追慕","ac16_title","False","","",""
"Hazy_Localization.txt:154","葦宮バッドエンドを迎えた","葦宮バッドエンドを迎えた","ac16_detail","False","","",""
"Hazy_Localization.txt:155","灯野あやめの本懐","灯野あやめの本懐","ac17_title","False","","",""
"Hazy_Localization.txt:156","あやめバッドエンドを迎えた","あやめバッドエンドを迎えた","ac17_detail","False","","",""
"Hazy_Localization.txt:157","なめどりビギナー","なめどりビギナー","ac18_title","False","","",""
"Hazy_Localization.txt:158","なめどりシールを５種類獲得した","なめどりシールを５種類獲得した","ac18_detail","False","","",""
"Hazy_Localization.txt:159","ヒヨっ子なめどり","ヒヨっ子なめどり","ac19_title","False","","",""
"Hazy_Localization.txt:160","なめどりシールを１種類獲得した","なめどりシールを１種類獲得した","ac19_detail","False","","",""
"Hazy_Localization.txt:161","殺したのは誰？","殺したのは誰？","ac20_title","False","","",""
"Hazy_Localization.txt:162","案内人の質問に正解する","案内人の質問に正解する","ac20_detail","False","","",""
"Hazy_Localization.txt:163","蘇りの秘術","蘇りの秘術","ac21_title","False","","",""
"Hazy_Localization.txt:164","序章をクリアした","序章をクリアした","ac21_detail","False","","",""
"Hazy_Localization.txt:165","志岐間春恵の願い","志岐間春恵の願い","ac22_title","False","","",""
"Hazy_Localization.txt:166","１章志岐間篇をクリアした","１章志岐間篇をクリアした","ac22_detail","False","","",""
"Hazy_Localization.txt:167","津詰徹生の捜査","津詰徹生の捜査","ac23_title","False","","",""
"Hazy_Localization.txt:168","１章津詰篇をクリアした","１章津詰篇をクリアした","ac23_detail","False","","",""
"Hazy_Localization.txt:169","逆崎約子の友情","逆崎約子の友情","ac24_title","False","","",""
"Hazy_Localization.txt:170","１章逆崎篇をクリアした","１章逆崎篇をクリアした","ac24_detail","False","","",""
"Hazy_Localization.txt:171","志岐間春恵の覚悟","志岐間春恵の覚悟","ac25_title","False","","",""
"Hazy_Localization.txt:172","２章志岐間篇をクリアした","２章志岐間篇をクリアした","ac25_detail","False","","",""
"Hazy_Localization.txt:173","津詰徹生の後悔","津詰徹生の後悔","ac26_title","False","","",""
"Hazy_Localization.txt:174","２章津詰篇をクリアした","２章津詰篇をクリアした","ac26_detail","False","","",""
