"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Hazy_Localization.txt:1","はい","是","confirm_yes","False","","","
是的

是"
"Hazy_Localization.txt:2","いいえ","否","confirm_no","False","","","
否

没有"
"Hazy_Localization.txt:3","AUTO","AUTO","game_btn_auto","False","","",""
"Hazy_Localization.txt:4","AUTOボタン表示","AUTO按钮显示","menu_btn_auto","False","","","
AUTO按钮显示

自动按钮显示"
"Hazy_Localization.txt:5","人物リスト","人物列表","menu_btn_charalist","False","","","
人物列表

人物列表"
"Hazy_Localization.txt:6","資料","资料","menu_btn_doclist","False","","","
资料

资料"
"Hazy_Localization.txt:7","ストーリーチャート","故事图表","menu_btn_storychart","False","","","
故事图表

故事图"
"Hazy_Localization.txt:8","セーブ","保存","menu_btn_save","False","","","
保存

保存"
"Hazy_Localization.txt:9","ロード","载入","menu_btn_load","False","","","
载入

路"
"Hazy_Localization.txt:10","オプション","选项","menu_btn_option","False","","","
选项

选项卡页面上创建或编辑条目"
"Hazy_Localization.txt:11","ゲーム終了","游戏结束","menu_btn_end","False","","","
游戏结束

游戏结束"
"Hazy_Localization.txt:12","人物リスト","人物列表","charalist_title","False","","","
人物列表

人物列表"
"Hazy_Localization.txt:13","資料","资料","doclist_title","False","","","
资料

资料"
"Hazy_Localization.txt:14","新着","新","doclist_cate_new","False","","","
新到

新"
"Hazy_Localization.txt:15","ALL","ALL","doclist_cate_all","False","","",""
"Hazy_Localization.txt:16","文化/社会","文化/社会","doclist_cate_calture","False","","","
文化/社会

文化/社会"
"Hazy_Localization.txt:17","本所七不思議","本所七大不可思议","doclist_cate_sevenwonder","False","","","
本所七大不可思议

本所七大不可思议"
"Hazy_Localization.txt:18","超常/呪詛","超常/诅咒","doclist_cate_curse","False","","","
超常/诅咒

超常/诅咒"
"Hazy_Localization.txt:19","攻略情報","攻略信息","doclist_cate_other","False","","","
攻略信息

攻略信息"
"Hazy_Localization.txt:20","更新された資料はありません","没有更新的资料","doclist_nothing_message","False","","","
没有更新的资料。

没有更新的资料"
"Hazy_Localization.txt:21","セーブ","保存","save_title","False","","","
保存

保存"
"Hazy_Localization.txt:22","セーブするスロットを選んでください","请选择要保存的插槽","save_subtitle","False","","","
请选择要保存的插槽

请选择保存的插槽。"
"Hazy_Localization.txt:23","スロット{0}に 上書きいたしますか？","是否要覆盖插槽{0}？","save_message","False","","","
是否要覆盖插槽{0}？

要覆盖在插槽{0}上吗？"
"Hazy_Localization.txt:24","ロード","载入","load_title","False","","","
载入

路"
"Hazy_Localization.txt:25","ロードするスロットを選んでください","请选择要加载的插槽","load_subtitle","False","","","
请选择要加载的插槽

选择一个插槽来加载。"
"Hazy_Localization.txt:26","スロット{0}を ロードいたしますか？","是否要加载插槽{0}？","load_message","False","","","
是否要加载插槽{0}？

加载时隙{0}吗？"
"Hazy_Localization.txt:27","オートセーブ","自动保存","save_autosave","False","","","
自动保存

自动救援"
"Hazy_Localization.txt:28","スロット{0}","插槽{0}","save_slotname","False","","","
插槽{0}

时隙{0}"
"Hazy_Localization.txt:29","データなし","无数据","save_nodata","False","","","
无数据

没有数据"
"Hazy_Localization.txt:30","ストーリーチャート","故事图表","save_place_storychart","False","","","
故事图表

故事图"
"Hazy_Localization.txt:31","前口上","前言","save_place_first","False","","","
前言

前言"
"Hazy_Localization.txt:32","ゲーム","游戏","option_cate_game","False","","","
游戏

游戏名称"
"Hazy_Localization.txt:33","サウンド","声音","option_cate_sound","False","","","
声音

声音"
"Hazy_Localization.txt:34","ビデオ","视频","option_cate_video","False","","","
视频

录像"
"Hazy_Localization.txt:35","コントロール","控制","option_cate_controller","False","","","
控制

控制"
"Hazy_Localization.txt:36","このタブを初期化","初始化此选项卡","option_btn_initialize","False","","","
初始化此选项卡

初始化这个标签"
